0,Chick-n-Minis 4 Pc.,3,3.29
0,Fruit Cup Medium,3,3.03
0,Iced Coffee Original Large,2,2.92
1,Waffle Potato Fries - Medium,1,1.81
1,Soft Drinks Medium,1,1.75
1,Chicke Egg & Cheese Bagel Combo,2,6.22
1,Icedream Cone,4,1.38
1,Chocolate Chunk Cookie_6 Pc.,1,7.32
2,Coffee Small,4,1.81
2,Bacon,3,2.85
2,Hand-Spun Milkshakes_Cookies & Cream,4,3.03
2,Waffle Potato Fries - Medium,1,1.81
2,Soft Drinks Medium,1,1.75
2,Grilled Chicken Cool Wrap Combo,4,8.97
3,Hand-Spun Milkshakes_Vanilla,3,3.03
3,Waffle Potato Fries - Medium,1,1.81
3,Soft Drinks Medium,1,1.75
3,ChickFil-A Nuggets Combo 8Pc,4,6.55
3,Grilled Chicken Cool Wrap,1,5.71
4,Grilled Chicken Sandwich,1,4.83
4,Waffle Potato Fries - Medium,4,1.81
5,Coffee Large,3,2.37
5,Chick-fil-A Chicken Biscuit,2,2.41
5,Grilled Market Salad With Spicy Filet,1,9.01
5,Grilled Market Salad,3,7.91
6,Icedream Cup,2,1.75
6,Icedream Topping,2,0.28
6,Apple Juice,1,1.2
6,Spicy Chicken Deluxe Sandwich,1,4.28
7,Grilled Market Salad With Nuggets,2,9.01
7,Bacon,4,2.85
7,Hand-Spun Milkshakes_Strawberry,2,3.03
7,Waffle Potato Fries - Medium,1,1.81
7,Soft Drinks Medium,1,1.75
7,Sausage Egg & Cheese Biscuit Combo,1,5.45
7,Chickrn Strips 4Pc,2,4.83
8,Fresh-Squeezed Lemonade Diet Small,3,1.71
8,Waffle Potato Fries - Medium,1,1.81
8,Soft Drinks Medium,1,1.75
8,Chicken Salad Sandwich Combo,1,7.47
8,Iced Coffee Original Large,4,2.92
9,Waffle Potato Fries - Medium,1,1.81
9,Soft Drinks Medium,1,1.75
9,Spicy Chicken Deluxe Sandwich Combo,3,7.47
